,Name,Intro,Link
0,Addionics,High-performance Rechargeable Batteries,https://finder.startupnationcentral.org/company_page/addionics
1,Velotix,Data and AI Compliance Management,https://finder.startupnationcentral.org/company_page/velotix
2,NSO Group,Cyber Intelligence for Global Security,https://finder.startupnationcentral.org/company_page/nso-group
3,BladeRanger,Autonomous Cleaning System for Solar Panels,https://finder.startupnationcentral.org/company_page/bladeranger
4,ASTERRA,Satellite-based Infrastructure Intelligence,https://finder.startupnationcentral.org/company_page/utilis
5,Axilion Smart Mobility,AI-based City-wide Traffic Management SaaS Offerings,https://finder.startupnationcentral.org/company_page/axilion
6,VBact,Automated Systems for Detecting Bacteria in Water,https://finder.startupnationcentral.org/company_page/vbact
7,Keheala,Healthcare Infrastructure and Behavioral Expertise,https://finder.startupnationcentral.org/company_page/keheala
8,Amplio,Digital Special Education,https://finder.startupnationcentral.org/company_page/ninispeech
9,Pzartech,Digital Solutions for Industrial Maintenance,https://finder.startupnationcentral.org/company_page/pzartech
10,wizdome,Autonomous AI and Machine-learning-based Cybersecurity Engine,https://finder.startupnationcentral.org/company_page/brandefender
11,Predicta Med,Decision-support Platform for Early Detection and Intervention Selection of Autoimmune Diseases,https://finder.startupnationcentral.org/company_page/predicta-med
12,Faye,Whole-trip Travel Insurance,https://finder.startupnationcentral.org/company_page/faye
13,Uniper Care Technologies,AI-based In-home Assistance Platform for the Elderly,https://finder.startupnationcentral.org/company_page/uniper-care-technologies
14,Pixellot,AI-automated Sports Production,https://finder.startupnationcentral.org/company_page/pixellot
15,Anodot,Autonomous Business Monitoring and Analytics,https://finder.startupnationcentral.org/company_page/anodot
16,Cellwize,Mobile Network Automation,https://finder.startupnationcentral.org/company_page/cellwize
17,Orca AI,Safe Maritime Navigation through Artificial Intelligence,https://finder.startupnationcentral.org/company_page/orca-ai
18,24me,Next-generation Personal Assistant,https://finder.startupnationcentral.org/company_page/24me
19,CropX,Agricultural Analytics Platform for Farm Management,https://finder.startupnationcentral.org/company_page/cropx
20,Axon Vision,AI Vision and Anomaly Detection,https://finder.startupnationcentral.org/company_page/axon-vision
21,Seed-X,Machine Vision and Deep Learning to Detect Seed Genetics,https://finder.startupnationcentral.org/company_page/seed-x
22,Verbit,A/V Captioning and Transcription Solutions,https://finder.startupnationcentral.org/company_page/verbit-software
