,Name,Intro,Link
0,Hydro X,REINVENTING HYDROGEN STORAGE,https://finder.startupnationcentral.org/company_page/nrgstoredge
1,Addionics,High-performance Rechargeable Batteries,https://finder.startupnationcentral.org/company_page/addionics
2,ECOncrete,Bring Concrete To Life,https://finder.startupnationcentral.org/company_page/econcrete
3,TIPA Corp,Compostable Flexible Packaging,https://finder.startupnationcentral.org/company_page/tipa
4,BladeRanger,Autonomous Cleaning System for Solar Panels,https://finder.startupnationcentral.org/company_page/bladeranger
5,H2 Energy Now,Energy Storage Solution,https://finder.startupnationcentral.org/company_page/h2-energy-now
6,ASTERRA,Satellite-based Infrastructure Intelligence,https://finder.startupnationcentral.org/company_page/utilis
7,VBact,Automated Systems for Detecting Bacteria in Water,https://finder.startupnationcentral.org/company_page/vbact
8,Copprint,Conductive Copper Printing,https://finder.startupnationcentral.org/company_page/copprint
9,Tethys Solar Desalination,Solar-powered Desalination and Water Treatment Plants,https://finder.startupnationcentral.org/company_page/tethys
10,CropX,Agricultural Analytics Platform for Farm Management,https://finder.startupnationcentral.org/company_page/cropx
11,Sensoil Innovations,Real-time Detection of Water Flow and Contaminants,https://finder.startupnationcentral.org/company_page/sensoil-innovations
12,RadGreen,Environmental Sensing and Analytics System for Indoor and Outdoor Spaces,https://finder.startupnationcentral.org/company_page/radgreen
13,Solight,Solar Technology for Daytime Interior Lighting,https://finder.startupnationcentral.org/company_page/solight
14,CASTOR,3D Printing Solutions for Manufacturing,https://finder.startupnationcentral.org/company_page/castor
15,DrizzleX,Usage-based Water Metering,https://finder.startupnationcentral.org/company_page/drizzlex
16,NanoScent,Scent Recognition Solutions,https://finder.startupnationcentral.org/company_page/nanoscent
17,Alumor h20Ready,Portable UV Water Purification UV,https://finder.startupnationcentral.org/company_page/Alumor
18,The Sustainable Group,AI-powered Circular Self-sustained Infrastructure,https://finder.startupnationcentral.org/company_page/the-sustainable-group
19,EV Kinetics Technologies,Electric Tractive Power System for Vehicles,https://finder.startupnationcentral.org/company_page/ev-kinetics-technologies-ltd
20,Watergen,Atmospheric Water Generator,https://finder.startupnationcentral.org/company_page/water-gen
21,Vaxa Technologies,Algae Cultivation Technology,https://finder.startupnationcentral.org/company_page/algaennovation
22,optiQGain,Molecular-level Analysis,https://finder.startupnationcentral.org/company_page/optiqgain
23,GenCell,Hydrogen and Ammonia Fuel Cell Power Solutions,https://finder.startupnationcentral.org/company_page/gencell
24,Electriq~Global,"Hydrogen-rich, Zero-emissions Energy Storage and Transportation",https://finder.startupnationcentral.org/company_page/terragenic
25,EZPack Water,Off-grid Clean Water Solutions,https://finder.startupnationcentral.org/company_page/ezpack
26,Eco Wave Power,Using Wave Energy for Power,https://finder.startupnationcentral.org/company_page/eco-wave-power
27,H2Pro,Hydrogen Fuel Production Technology,https://finder.startupnationcentral.org/company_page/h2pro
28,Hydrolite,Fuel Cell and Electrolyzer Technology,https://finder.startupnationcentral.org/company_page/pocelltech
29,Aquarius Spectrum,Leak-detection and Monitoring Solutions for Water Utilities,https://finder.startupnationcentral.org/company_page/aquarius-spectrum
30,Sol Chip,Solar Battery and IoT Communication Platform,https://finder.startupnationcentral.org/company_page/sol-chip
31,Advanced Brine Solutions,Evaporation Technology for Brine and Industrial Wastewater,https://finder.startupnationcentral.org/company_page/advanced-brine-solutions
32,StoreDot,Extreme Fast-charging Electric Vehicle Batteries,https://finder.startupnationcentral.org/company_page/storedot
33,CENS Materials,"Transforming Li-ion Batteries into Fast-charge, High-energy Power Cells",https://finder.startupnationcentral.org/company_page/cens-materials
34,Phinergy,Metal–Air Energy Generation and Storage Systems,https://finder.startupnationcentral.org/company_page/phinergy
