,Name,Intro,Link
0,H2 Energy Now,Energy Storage Solution,https://finder.startupnationcentral.org/company_page/h2-energy-now
1,Solight,Solar Technology for Daytime Interior Lighting,https://finder.startupnationcentral.org/company_page/solight
2,Alumor h20Ready,Portable UV Water Purification UV,https://finder.startupnationcentral.org/company_page/Alumor
3,EV Kinetics Technologies,Electric Tractive Power System for Vehicles,https://finder.startupnationcentral.org/company_page/ev-kinetics-technologies-ltd
4,Watergen,Atmospheric Water Generator,https://finder.startupnationcentral.org/company_page/water-gen
5,PDP-Tech,Predictive Maintenance Solution,https://finder.startupnationcentral.org/company_page/pdp-technologies
6,EZPack Water,Off-grid Clean Water Solutions,https://finder.startupnationcentral.org/company_page/ezpack
7,Aquarius Spectrum,Leak-detection and Monitoring Solutions for Water Utilities,https://finder.startupnationcentral.org/company_page/aquarius-spectrum
8,Etugo,Intelligent Home System,https://finder.startupnationcentral.org/company_page/ez-power-lines
9,Phinergy,Metal–Air Energy Generation and Storage Systems,https://finder.startupnationcentral.org/company_page/phinergy
10,Eta-Bar,Offline Power Supply for IoT Devices,https://finder.startupnationcentral.org/company_page/eta-bar
11,ElectReon,Wireless Electric Power System for Public Transportation,https://finder.startupnationcentral.org/company_page/electroad
12,Apollo,Solar Energy Production Technology,https://finder.startupnationcentral.org/company_page/solarpaint
13,Computerized Electricity Systems (CES),Energy Management Systems,https://finder.startupnationcentral.org/company_page/computerized-electricity-systems-ces
14,Driivz,Electric Vehicle Charging and Energy Management Solution,https://finder.startupnationcentral.org/company_page/driivz
15,Sowillo Energy,Waste Heat Recuperation System for Buildings,https://finder.startupnationcentral.org/company_page/sowillo
16,SolCold,Innovative Solar Cooling Technology,https://finder.startupnationcentral.org/company_page/solcold
17,MindoLife IoT,Buildingwide Energy Management Systems,https://finder.startupnationcentral.org/company_page/mindolife
18,Enervibe,Energy-harvesting Solutions,https://finder.startupnationcentral.org/company_page/enervibe
19,Soapy Care,IoT Micro Hygiene Station,https://finder.startupnationcentral.org/company_page/soapy
20,Tondo,Connected Lighting Solutions for Smart Cities,https://finder.startupnationcentral.org/company_page/tondo
21,HPNow,Sustainable Hydrogen Peroxide Generation Solutions,https://finder.startupnationcentral.org/company_page/hpnow
22,Powercom,Smart Grid Solutions for Utilities,https://finder.startupnationcentral.org/company_page/powercom
23,Spheratec Technologies,Photovoltaic Energy Production and Storage,https://finder.startupnationcentral.org/company_page/spheratec
24,Juganu,"Indoor, Outdoor, and Industrial Smart LED Lighting",https://finder.startupnationcentral.org/company_page/juganu
25,TouchWand,Smart Home Solutions,https://finder.startupnationcentral.org/company_page/touchwand
26,Aquarius Engines,Internal Combustion Engine for Cars and Generators,https://finder.startupnationcentral.org/company_page/aquarius-engines
27,Ayala Water & Ecology,"Solutions for Water, Soil, and Air Pollution",https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology
28,DST Cleantech,Solar Solutions and LED-based Illumination Devices,https://finder.startupnationcentral.org/company_page/dst-cleantech
29,SolarBead,Smart Microinverter for Enhancing PV Yield,https://finder.startupnationcentral.org/company_page/solarbead
30,Applied Cavitation Technologies,Water Treatment and Purification Equipment,https://finder.startupnationcentral.org/company_page/applied-cavitation-technologies
31,Solaris Synergy,Floating Solar Farm,https://finder.startupnationcentral.org/company_page/solaris-synergy
32,Grid4C,Smart Grid Predictive Analytics Solution,https://finder.startupnationcentral.org/company_page/grid4c
33,FSIGHT,AI-based Distributed Energy Management Solution,https://finder.startupnationcentral.org/company_page/foresight-energy-scales
34,Synvertec,Grid Stability Software,https://finder.startupnationcentral.org/company_page/synvertec-ltd
35,Vigdu Technologies,PID Solutions for Solar Panels,https://finder.startupnationcentral.org/company_page/vigdu-technolgies
36,EGM,Electrical Grid Monitoring and Managing Tool,https://finder.startupnationcentral.org/company_page/egm
37,Mapal Green Energy,Wastewater Treatment,https://finder.startupnationcentral.org/company_page/mapal-green-energy
38,Green Power Management,Reducing Electrical Peak Demand,https://finder.startupnationcentral.org/company_page/gpm-green-power-management
39,IOSight,Data Management and Analytics for the Water and Energy Sectors,https://finder.startupnationcentral.org/company_page/iosight
40,GreenTech Energy,Solar Hot Water and Solar Pool Heaters,https://finder.startupnationcentral.org/company_page/greentech-energy
41,Vollspark,Smart Power Transformers for Regulating Alternative Energy Input,https://finder.startupnationcentral.org/company_page/volex-power
42,RST Cleantech,Automatic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/rst-cleantech
43,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
