,Name,Intro,Link
0,Hydro X,REINVENTING HYDROGEN STORAGE,https://finder.startupnationcentral.org/company_page/nrgstoredge
1,ADSR,Integrated Circuit Developer,https://finder.startupnationcentral.org/company_page/adsr-ltd
2,H2 Energy Now,Energy Storage Solution,https://finder.startupnationcentral.org/company_page/h2-energy-now
3,Solight,Solar Technology for Daytime Interior Lighting,https://finder.startupnationcentral.org/company_page/solight
4,Alumor h20Ready,Portable UV Water Purification UV,https://finder.startupnationcentral.org/company_page/Alumor
5,The Sustainable Group,AI-powered Circular Self-sustained Infrastructure,https://finder.startupnationcentral.org/company_page/the-sustainable-group
6,GenCell,Hydrogen and Ammonia Fuel Cell Power Solutions,https://finder.startupnationcentral.org/company_page/gencell
7,Electriq~Global,"Hydrogen-rich, Zero-emissions Energy Storage and Transportation",https://finder.startupnationcentral.org/company_page/terragenic
8,EZPack Water,Off-grid Clean Water Solutions,https://finder.startupnationcentral.org/company_page/ezpack
9,Eco Wave Power,Using Wave Energy for Power,https://finder.startupnationcentral.org/company_page/eco-wave-power
10,H2Pro,Hydrogen Fuel Production Technology,https://finder.startupnationcentral.org/company_page/h2pro
11,Sol Chip,Solar Battery and IoT Communication Platform,https://finder.startupnationcentral.org/company_page/sol-chip
12,Phinergy,Metal–Air Energy Generation and Storage Systems,https://finder.startupnationcentral.org/company_page/phinergy
13,Eta-Bar,Offline Power Supply for IoT Devices,https://finder.startupnationcentral.org/company_page/eta-bar
14,NewCO2Fuels,CO2-based Fuel Production,https://finder.startupnationcentral.org/company_page/newco2fuels-ncf
15,Apollo,Solar Energy Production Technology,https://finder.startupnationcentral.org/company_page/solarpaint
16,Augwind,Underground Energy Storage Systems,https://finder.startupnationcentral.org/company_page/augwind
17,Driivz,Electric Vehicle Charging and Energy Management Solution,https://finder.startupnationcentral.org/company_page/driivz
18,Phoenicia Flat Glass Industries,Specialty Glass Manufacturer,https://finder.startupnationcentral.org/company_page/phoenicia
19,MASSIVit 3D Printing Technologies,"Rapid, High-volume 3D Printing Solutions",https://finder.startupnationcentral.org/company_page/massivit3d
20,Zooz Power,EV Charging and Energy Storage Solutions,https://finder.startupnationcentral.org/company_page/chakratec
21,Sowillo Energy,Waste Heat Recuperation System for Buildings,https://finder.startupnationcentral.org/company_page/sowillo
22,Soltell Systems,Industrial IoT-powered Automation for Management of Solar PV Energy Facilities,https://finder.startupnationcentral.org/company_page/soltell-systems
23,SGTech,Biogas Production and Waste Treatment Solution,https://finder.startupnationcentral.org/company_page/sgtech
24,Brenmiller Energy,Thermal Energy Storage,https://finder.startupnationcentral.org/company_page/brenmiller-energy
25,Blue Sphere,Transforming Waste into Clean Energy,https://finder.startupnationcentral.org/company_page/blue-sphere
26,Standard Carbon,Recycling CO2 into Clean Energy,https://finder.startupnationcentral.org/company_page/co2storage
27,Spheratec Technologies,Photovoltaic Energy Production and Storage,https://finder.startupnationcentral.org/company_page/spheratec
28,New BrightSource Energy,Thermo-solar Technology Solutions,https://finder.startupnationcentral.org/company_page/brightsource-industries-israel
29,Aquarius Engines,Internal Combustion Engine for Cars and Generators,https://finder.startupnationcentral.org/company_page/aquarius-engines
30,Ayala Water & Ecology,"Solutions for Water, Soil, and Air Pollution",https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology
31,HomeBiogas,"Converting Organic Waste into Clean, Renewable Energy",https://finder.startupnationcentral.org/company_page/homebiogas
32,DST Cleantech,Solar Solutions and LED-based Illumination Devices,https://finder.startupnationcentral.org/company_page/dst-cleantech
33,SolarBead,Smart Microinverter for Enhancing PV Yield,https://finder.startupnationcentral.org/company_page/solarbead
34,PVpredict,"Photovoltaic Performance, Fault, and Yield Prediction",https://finder.startupnationcentral.org/company_page/ipv-solar
35,Sun Effect,Robotic Cleaning Systems for Solar Panels,https://finder.startupnationcentral.org/company_page/sun-effect
36,Sologic,Renewable Energy Systems,https://finder.startupnationcentral.org/company_page/sologic
37,Solaris Synergy,Floating Solar Farm,https://finder.startupnationcentral.org/company_page/solaris-synergy
38,GEM Solar,Kerf-free Slicing of Silicon Ingots for PV,https://finder.startupnationcentral.org/company_page/gem-solar
39,Matalon,Sun Tracker and Solar Panel Technology,https://finder.startupnationcentral.org/company_page/matalon
40,FSIGHT,AI-based Distributed Energy Management Solution,https://finder.startupnationcentral.org/company_page/foresight-energy-scales
41,Synvertec,Grid Stability Software,https://finder.startupnationcentral.org/company_page/synvertec-ltd
42,Vigdu Technologies,PID Solutions for Solar Panels,https://finder.startupnationcentral.org/company_page/vigdu-technolgies
43,MTR Wireless Communications,Smart Grid Wireless Control Solutions,https://finder.startupnationcentral.org/company_page/mtr
44,Solatics,Solar Energy and Electricity Systems for Industry and Utility Sites,https://finder.startupnationcentral.org/company_page/solatics
45,Tigi,Highly Efficient Solar Thermal Collectors,https://finder.startupnationcentral.org/company_page/tigi
46,GreenTech Energy,Solar Hot Water and Solar Pool Heaters,https://finder.startupnationcentral.org/company_page/greentech-energy
47,SolView,AI-based Property Analytics,https://finder.startupnationcentral.org/company_page/solview
48,Ecoppia,Water-free Robotic Cleaning for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/ecoppia
49,Vollspark,Smart Power Transformers for Regulating Alternative Energy Input,https://finder.startupnationcentral.org/company_page/volex-power
50,E2ESolar,Solar PV Installation and Management Platform,https://finder.startupnationcentral.org/company_page/e2esolar
51,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
52,SolarWat,Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/solarwat-ltd
53,3GSolar Photovoltaics,Energy Solution for Wireless and IoT Devices,https://finder.startupnationcentral.org/company_page/3gsolar-photovoltaics-lts
54,Airtouch Solar,Autonomous Robotic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/airtouch-solar-ltd
55,Meteo-Logic,Weather-driven Energy Commodity Algo-trading,https://finder.startupnationcentral.org/company_page/meteo-logic
56,Qnergy,Stirling-based Power Generation Systems,https://finder.startupnationcentral.org/company_page/qnergy
57,TUBEX NRG,Bionanotechnology Solution to Extend Battery Life,https://finder.startupnationcentral.org/company_page/pntlloxx
58,Solaris Hydrobotics,Water-powered Autonomous Robotic Cleaning,https://finder.startupnationcentral.org/company_page/solaris-hydrobotics
59,SolarEdge,Distributed Solar Power Harvesting and Module-level PV Monitoring,https://finder.startupnationcentral.org/company_page/solaredge
60,Vintec Knowledge,Energy-saving Technologies,https://finder.startupnationcentral.org/company_page/vintec-knowledge
61,ThermoTerra,Harnessing Energy from Humidity Fluctuation,https://finder.startupnationcentral.org/company_page/thermoterra
62,SolAround,Bifacial PV Cell-based Products,https://finder.startupnationcentral.org/company_page/solaround
63,Greeneum,Trading Platform for Green Energy Resources,https://finder.startupnationcentral.org/company_page/greeneum
64,Phoebus Energy,Hybrid Water Heating and Cooling Solutions for Commercial Sites,https://finder.startupnationcentral.org/company_page/phoebus-energy
65,Mada Analytics,Predictive Data Analytics for Optimizing Energy Management,https://finder.startupnationcentral.org/company_page/mada-analytics
66,Olivebar,Biomass Fuel from the Olive Industry,https://finder.startupnationcentral.org/company_page/olivebar
67,FlexiFuel,Flexible-fuel Engines,https://finder.startupnationcentral.org/company_page/flexi-fuel
68,Ocean Brick System,Modular Concrete Blocks for Marine Construction,https://finder.startupnationcentral.org/company_page/Ocean-Brick-System
69,LCB-Bioenergy,Converting Biomass to Extract Ethanol,https://finder.startupnationcentral.org/company_page/lcb-bioenergy
70,WindWells,Optimizing Wind Energy Production,https://finder.startupnationcentral.org/company_page/windwells
71,Burning Solar,Carbon-based Solar Cell Technology,https://finder.startupnationcentral.org/company_page/burning-solar
72,Heliofocus,Solar Thermal Energy Solutions,https://finder.startupnationcentral.org/company_page/heliofocus
73,BrightView Systems,Process Control and Optimization Solutions for Renewable Energy Sources,https://finder.startupnationcentral.org/company_page/brightview-systems
74,GreenSun Energy,Photovoltaic Solar Panels,https://finder.startupnationcentral.org/company_page/greensun-energy-gse
75,SDE,Sea Wave Power Plants,https://finder.startupnationcentral.org/company_page/sde
76,Eternegy,Tracker for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/eternegy
77,Watts & More,Improving Efficiency of Photovoltaic Installations,https://finder.startupnationcentral.org/company_page/watts-more
78,Solarian Energy,Renewable Energy Solutions,https://finder.startupnationcentral.org/company_page/solarian-energy
79,ZenithSolar,Solar Energy Company,https://finder.startupnationcentral.org/company_page/zenithsolar
80,StreamBooster,Renewable Energy Production,https://finder.startupnationcentral.org/company_page/streambooster
81,Innosave Energy,Energy-saving Drive for Electric Motors,https://finder.startupnationcentral.org/company_page/innosave-energy-ltd
82,MST,Highly Efficient Solar Energy Systems for Generating Electricity,https://finder.startupnationcentral.org/company_page/mst-solar-energy-company
83,EMDACT,Microbial Conversion of Carbon Dioxide and Wastewater to Natural Gas,https://finder.startupnationcentral.org/company_page/emdact
84,Sun770,Solar Energy Collectors,https://finder.startupnationcentral.org/company_page/sun770
85,Plastic Back,Converting Plastic Waste into Crude Oil,https://finder.startupnationcentral.org/company_page/plastic-back
86,Brightmerge,Optimization Platform for Renewable Energy Micro-grid Systems,https://finder.startupnationcentral.org/company_page/brightmerge-israel
87,Millennium Electric T.O.U.,PV and PVT Solar Technologies,https://finder.startupnationcentral.org/company_page/millennium-electric-t-o-u
88,Leviathan Energy,"Clean Power from Wind, Hydro, and Wave Products",https://finder.startupnationcentral.org/company_page/leviathan-energy
89,Nimrod Industries,Solar and Electric Water Heating System Components,https://finder.startupnationcentral.org/company_page/nimrod-industries
90,Ormat Technologies,Geothermal Power and Renewable Energy Solutions,https://finder.startupnationcentral.org/company_page/ormat-technologies
91,WERPO,Using Sea Wave Technology to Generate Electricity,https://finder.startupnationcentral.org/company_page/werpo
92,Tamuz Electronics,Energy Systems and Backup Technologies,https://finder.startupnationcentral.org/company_page/tamuz-electronics
93,Moon Solar Light,Solar Street Lighting and Related Safety Products,https://finder.startupnationcentral.org/company_page/msl
94,Advice Electronics,Power Supply Systems,https://finder.startupnationcentral.org/company_page/advice-electronics
95,Amcor Solar Energies,Solar and Electrical Heating Systems,https://finder.startupnationcentral.org/company_page/amcor-solar-energies1
96,AHG Energy,Hybrid Solar Power Systems,https://finder.startupnationcentral.org/company_page/al-hadeshe
97,Magen eco-Energy,Solar Thermal Solutions,https://finder.startupnationcentral.org/company_page/magen-eco-energy
98,Dor Group,Chemical Manufacturing and Marketing,https://finder.startupnationcentral.org/company_page/dor-chemicals
99,New Delek,Production of Biofuel for Automobiles,https://finder.startupnationcentral.org/company_page/new-delek
100,NRG Spring,Energy Storage System,https://finder.startupnationcentral.org/company_page/nrg-spring
101,Yamar Electronics,Semiconductors for Data Communication over Power Lines,https://finder.startupnationcentral.org/company_page/yamar-electronics
102,Reali Technologies,Industrial IoT Remote Control and SCADA Solution,https://finder.startupnationcentral.org/company_page/reali-technologies-realiteq
103,Chromagen,Hot Water Solutions,https://finder.startupnationcentral.org/company_page/chromagen
104,Green ELMF Cables,Extra-low Electromagnetic Field Cables,https://finder.startupnationcentral.org/company_page/green-elmf-cables
105,ESOL Energy Solutions,"Heating, Cooling, and Air Conditioning Technology",https://finder.startupnationcentral.org/company_page/esol-energy-solutions-ltd1
106,CirculAir,Solar-powered Cooling System for Vehicles,https://finder.startupnationcentral.org/company_page/circulair
107,Heliodrone,Independent Recharging Technology for Multi-rotor Drones,https://finder.startupnationcentral.org/company_page/heliodrone
108,Solav Energy,Solar Water Heating System,https://finder.startupnationcentral.org/company_page/solav-energy
109,ThermaSphera,Multi-polytropic Process for Energy Storage,https://finder.startupnationcentral.org/company_page/thermasphera
110,Tamuz Energy,Industrial Process Solar Heat,https://finder.startupnationcentral.org/company_page/tamuz-energy
111,Designer Energy,Producing Biofuel from Sugars,https://finder.startupnationcentral.org/company_page/designer-energy
112,Pythagoras Solar,Building-integrated Photovoltaics for Self-powered Buildings,https://finder.startupnationcentral.org/company_page/pythagoras-solar
113,CellEra,Low-cost Fuel Cell Technology,https://finder.startupnationcentral.org/company_page/cellera
114,Yeloha,Peer-to-peer Solar-sharing Network,https://finder.startupnationcentral.org/company_page/yeloha
115,Virdia,Cellulosic Sugars and Lignin for Renewable Chemicals Production,https://finder.startupnationcentral.org/company_page/virdia
116,Linum Systems,Thermal Solar-based Air-conditioning,https://finder.startupnationcentral.org/company_page/linum-systems
117,Utilight,Printing Technology Enabling Efficient Solar-cell Conversion,https://finder.startupnationcentral.org/company_page/utilight
118,RevAmp Technologies,Producing Electricity by Cooling the Environment,https://finder.startupnationcentral.org/company_page/RevAmp-Technologies
119,Drying Sludge Technology,Improving Sewage Sludge Quality,https://finder.startupnationcentral.org/company_page/drying-sludge-technology-dst
120,SolariPhy,Higher Efficiency for Photovoltaic Cells,https://finder.startupnationcentral.org/company_page/solariphy
121,Kedma Solar,Solar Energy Systems for Consumers,https://finder.startupnationcentral.org/company_page/kedma-solar
122,Flywheel Energy,Flash Charger for Electrical Vehicles,https://finder.startupnationcentral.org/company_page/energo-on
123,Winflex,Wind Turbine Technology,https://finder.startupnationcentral.org/company_page/winflex
124,EnStorage,Long-lasting Energy Storage Systems,https://finder.startupnationcentral.org/company_page/enstorage
125,SunBoost,Add-on Optical PV Collector for Greenhouses,https://finder.startupnationcentral.org/company_page/sunboost
126,AORA Solar,"High-temperature, Concentrated Solar Power Technologies",https://finder.startupnationcentral.org/company_page/aora
127,HydroSpin,Hydroelectric Power for Smart Water Monitoring,https://finder.startupnationcentral.org/company_page/hydrospin
128,Kalisaya,Portable Energy Generator with Folding Solar Panels,https://finder.startupnationcentral.org/company_page/kalisaya
129,Greener Israel,Smart Bin for Waste Management,https://finder.startupnationcentral.org/company_page/greener-israel
130,SunDWater,Solar-powered Water Purification,https://finder.startupnationcentral.org/company_page/sundwater
131,Orad,Perimeter Defense and Comprehensive Security Solutions,https://finder.startupnationcentral.org/company_page/orad
132,Bulbee,Social Platform for Domestic Energy Usage,https://finder.startupnationcentral.org/company_page/bulbee
133,Environmental Energy Resources (EER),Energy-generating Waste Treatment,https://finder.startupnationcentral.org/company_page/environmental-energy-resources-eer
