,Name,Intro,Link
0,Pixellot,AI-automated Sports Production,https://finder.startupnationcentral.org/company_page/pixellot
1,Evrideo,SaaS Broadcast Platform,https://finder.startupnationcentral.org/company_page/ichannel
2,Enervibe,Energy-harvesting Solutions,https://finder.startupnationcentral.org/company_page/enervibe
3,Healables Digital Health,Wearable Electrotherapy Devices,https://finder.startupnationcentral.org/company_page/healables-biotech-digital-health
4,Seevix Material Sciences,Biopolymer Material Inspired by Spider Silk,https://finder.startupnationcentral.org/company_page/seevix
5,Movez,AI and IoT Technology for Sports Activities,https://finder.startupnationcentral.org/company_page/movez
6,Sency,Mobile App for Encouraging Physical Activity,https://finder.startupnationcentral.org/company_page/fitv
7,ShapeShift Gaming,Game Tracking and Analytics,https://finder.startupnationcentral.org/company_page/shapeshift-gaming
8,Sirona,Workout App for Athletes,https://finder.startupnationcentral.org/company_page/sirona
9,Sidelines,Sports Analysis Platform,https://finder.startupnationcentral.org/company_page/fantasy-advantage
10,Betomania,Social Trading Tournament Game,https://finder.startupnationcentral.org/company_page/betomania
11,Sportstar Alliance,Blockchain Monetization Platform for Sports Fans,https://finder.startupnationcentral.org/company_page/sportstar-alliance
12,Project S+,Soccer Performance Development Platform,https://finder.startupnationcentral.org/company_page/project-s-plus
13,Zone7,AI-powered Injury-prediction Solution for Athletes,https://finder.startupnationcentral.org/company_page/futbol-ai
14,fitto,"Smart, Trackable Packaging for Supplements",https://finder.startupnationcentral.org/company_page/fitto-world
15,PhysiMax Technologies,AI-powered Musculoskeletal Self-assessment and Optimization Platform,https://finder.startupnationcentral.org/company_page/physihome-technologies
16,Play ASAP,Training Platform for Competitive Gamers,https://finder.startupnationcentral.org/company_page/play-asap
17,Locomotion Data Solutions,Fitness Tracking Solution,https://finder.startupnationcentral.org/company_page/locomotion-data-solution
18,Applied Cognitive Engineering,Training Software,https://finder.startupnationcentral.org/company_page/intelligym
19,Powners,Coaching Platform for Gamers,https://finder.startupnationcentral.org/company_page/powners
20,Flyer,Monitoring for Sport Shooting,https://finder.startupnationcentral.org/company_page/flyer-smart-range-systems-ltd
21,Ngage Sportek,Sports Management and Advertising Platform,https://finder.startupnationcentral.org/company_page/ngage-sportek
22,Sleeprate,"SaaS Solution for Sleep Monitoring, Assessment, and Therapy",https://finder.startupnationcentral.org/company_page/sleeprate
23,weairable,Wearable Sensor for Continuous Monitoring of Physiological Parameters,https://finder.startupnationcentral.org/company_page/weairable
24,Blink,AI-driven Shareable Moments for Gamers,https://finder.startupnationcentral.org/company_page/elastic-media
25,i-BrainTech,Neuro Sports Training Platform,https://finder.startupnationcentral.org/company_page/i-braintech
26,FastBreak Live,Streaming and Broadcasting Platform for Sports Fans,https://finder.startupnationcentral.org/company_page/fastbreak-live
27,PlaySight Interactive,Sports AI and Automated Production for Streaming and Performance Video Analysis,https://finder.startupnationcentral.org/company_page/playsight-interactive
28,Ludus Materials,Interactive Sports Training Platform and Hardware,https://finder.startupnationcentral.org/company_page/ludus-materials
29,hoopsAi,Real-time Sports Analysis and Commentary,https://finder.startupnationcentral.org/company_page/hoopsai
30,Pulse Play,All-in-One Wearable for Racket Sports,https://finder.startupnationcentral.org/company_page/pulse-play
31,eGamer,Gaming Monetization Platform,https://finder.startupnationcentral.org/company_page/egamer
32,Logical Commander Software,Risk Management and Security Solutions,https://finder.startupnationcentral.org/company_page/logical-commander-software-ltd
33,YOPI,Digital Health and Fitness Guide,https://finder.startupnationcentral.org/company_page/yopi
34,Minute.ly,AI-based Video Optimization Solutions,https://finder.startupnationcentral.org/company_page/minute-spoteam
35,FANS-LEAGUE,Mobile Gaming App for Sports Fans,https://finder.startupnationcentral.org/company_page/fans-league
36,Zengaming,Global Social Network for Electronic Sports Enthusiasts,https://finder.startupnationcentral.org/company_page/zengaming
37,STADS Technologies,Sports Advertising Platform,https://finder.startupnationcentral.org/company_page/stads-technologies
38,MoonRun,Virtual Reality Fitness Trainer,https://finder.startupnationcentral.org/company_page/nanorun
39,Baseline Vision,Feedback and Statistics Platform for Tennis Players,https://finder.startupnationcentral.org/company_page/baseline-vision
40,Acceler8 Performance,Athletic Performance Assessment Platform,https://finder.startupnationcentral.org/company_page/acceler8
41,Go Heja!,Training and Management Solution for Endurance Sports Clubs,https://finder.startupnationcentral.org/company_page/go-heja
42,Camikaze Drones,Drones for the Extreme Sports Industry,https://finder.startupnationcentral.org/company_page/camikaze
43,LVision,Smart Tennis Analysis,https://finder.startupnationcentral.org/company_page/lvision
44,KwazyLABS,Crowd Games for Brands and Enterprises,https://finder.startupnationcentral.org/company_page/kwazylabs
45,Everysight,Smartglasses for Cyclists,https://finder.startupnationcentral.org/company_page/everysight
46,GUDU,"On-demand Wellness, Fitness, and Lifestyle Platform",https://finder.startupnationcentral.org/company_page/gudu
47,Manage2U,Management Platform for Sports Teams,https://finder.startupnationcentral.org/company_page/manage2u
48,Fuze.tv,Video Editor for Gamers,https://finder.startupnationcentral.org/company_page/quarterback
49,TrekAce Technologies,Wrist-strap Navigator Device,https://finder.startupnationcentral.org/company_page/trekace-technologies
50,Eco-Net,"Smart, Connected, Digital Fishing Lures",https://finder.startupnationcentral.org/company_page/eco-net
51,UrbanGym,Outdoor Fitness for Smart Cities,https://finder.startupnationcentral.org/company_page/urbangym
52,Playform,Mobile Training App for Youth Soccer Athletes,https://finder.startupnationcentral.org/company_page/playform
53,Coacheli,Marketplace for Sports Professionals and Wellness Coaches,https://finder.startupnationcentral.org/company_page/coacheli1
54,brain.space,Brain Activity Big Data Platform,https://finder.startupnationcentral.org/company_page/eeg-sense
55,AthletAR,AI-based Engine for Interactive Sports Broadcasts,https://finder.startupnationcentral.org/company_page/athletar
56,Biogradient,Digital Sensor-based System for Maximizing Personalized Physiological Capabilities,https://finder.startupnationcentral.org/company_page/biogradient
57,SnookerX,Bringing a New Experience to the Snooker Table,https://finder.startupnationcentral.org/company_page/snookerx1
58,Mindfly,AI-powered Bodycam for Sports Footage,https://finder.startupnationcentral.org/company_page/mindfly
59,Edge Gaming,AI-driven eSports Academy Platform,https://finder.startupnationcentral.org/company_page/edge-academy
60,Synergym.Ai,Virtual Sports Psychologist,https://finder.startupnationcentral.org/company_page/synergym-ai
61,Triber,Fitness Marketplace and Gym Management Platform,https://finder.startupnationcentral.org/company_page/triber
62,TropX,AI-driven Smart Suit for Personal Training,https://finder.startupnationcentral.org/company_page/tropx
63,FitBack,Real-time Workout Feedback,https://finder.startupnationcentral.org/company_page/fitback
64,Pro Workout,Fitness Training App,https://finder.startupnationcentral.org/company_page/pro-workout
65,Level Hydrofoils,Marine eMobility,https://finder.startupnationcentral.org/company_page/level
66,Watteam,Power Meter for Cyclists,https://finder.startupnationcentral.org/company_page/watteam
67,Inthegame,Viewer Engagement and Monetization Platform for Broadcasters and Video Content Owners,https://finder.startupnationcentral.org/company_page/inthegame
68,Referante,Virtual Reality Simulator for Referees,https://finder.startupnationcentral.org/company_page/referante
69,KeyPodOn,Wearable IoT Technology,https://finder.startupnationcentral.org/company_page/keypod
70,RealDrift,Real-Time Human Motion Capturing Technology for Edge Devices,https://finder.startupnationcentral.org/company_page/realdrift
71,AvantGuard,Athlete's Injuries Prevention,https://finder.startupnationcentral.org/company_page/avantguard
72,HYGEAR,Smart Workout Gear,https://finder.startupnationcentral.org/company_page/HYGEAR
73,Sea Analytics,Analytics Platform for Competitive Sailing,https://finder.startupnationcentral.org/company_page/sea-analytics
74,Striker,Wearable System for the Youth Soccer Market,https://finder.startupnationcentral.org/company_page/striker
75,Kemtai,AI-based Home Exercise Platform,https://finder.startupnationcentral.org/company_page/kemtai
76,TopShot,Penalty Kick Training System,https://finder.startupnationcentral.org/company_page/topshot-tech
77,Strikeco,Sports Simulator Platform,https://finder.startupnationcentral.org/company_page/strikecosense
78,InVivo,Analytics Engine for Matching Football Players with Teams,https://finder.startupnationcentral.org/company_page/invivo
79,Rankset,Tradable VR Content,https://finder.startupnationcentral.org/company_page/rankset
80,Divo,Interactive Video Platform for Fitness Sessions at Scale,https://finder.startupnationcentral.org/company_page/divo
81,Agado Live,Marketplace and Infrastructure for Talent and Creator Funds,https://finder.startupnationcentral.org/company_page/agadolive-ltd
82,Exceed Talent Capital,Global Community of Runners,https://finder.startupnationcentral.org/company_page/exceed-talent-capital
83,RunEverywhere,Fan Engagement Platform,https://finder.startupnationcentral.org/company_page/runeverywhere
84,Crowder,Electro-optical Solutions for Defense and Security,https://finder.startupnationcentral.org/company_page/crowder
85,Shilat Optronics,Swim Workout Tracking,https://finder.startupnationcentral.org/company_page/shilat-optronics
86,Swimsee,Training Platform for Gamers,https://finder.startupnationcentral.org/company_page/swimsee
87,NOVOS,Location Sensing for AR/VR,https://finder.startupnationcentral.org/company_page/novos
88,Speculo,AI Sports Analytics and Performance Analysis,https://finder.startupnationcentral.org/company_page/speculo
